Rowid,Country,State lgd code,State,Yearcode,Year,Cognizable crimes reported by ipc,Registered murder cases,Registered cases of offence against state,Cases reported under the prevention of corruption act and related sections of ipc,Value of property stolen,Value of property recovered,Cases registered by railway protection force,Registered cases of crime or atrocities against scheduled castes (scs),Registered cases of crime or atrocities against scheduled tribes (sts),Cognizable crimes registered under sll (special & local laws).,Cognizable crimes registered under ipc (indian penal code) and sll (special & local laws),Cases registered under crime against women (including both ipc and sll (special & local laws crimes),Cases of crime against foreigners,Registered cyber-crime cases,Cases registered under economic offences,Cases registered under environment related offences,Cases registered under ipc and sll (special & local laws) in which juveniles were apprehended.
1,India,1,Jammu And Kashmir,2016,"Calendar Year (Jan - Dec), 2016",23965.14217686489010475187,138.89433856229600403554,180.95389178890676582095,53.79710296426957902785,24.4474208511684679948313975819,11.016833079259761067888491534,1000.62611513541416991801,0.97812914480490143687,0.00000000000000000000,2076.56817442080575047501,26041.71035128569585522688,2787.66806269396909507950,0.00000000000000000000,27.38761605453724023236,627.95891096474672247054,3.91251657921960574748,193.66957067137048450026
2,India,1,Jammu And Kashmir,2017,"Calendar Year (Jan - Dec), 2017",22171.25332529270086953229,148.67563001034501840424,178.01950435449206151034,82.16284816361172069708,28.966096708633513490115315311,10.142950884636961935867078707,1108.22032106395332797371,0.00000000000000000000,0.00000000000000000000,2876.67781487121512583467,25047.93114016391599536696,3060.56609409453659596623,0.00000000000000000000,61.62213612270879052281,675.88723906018689287717,12.71567888246371867931,182.91015007851656869469
3,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",23686.37537059549319524392,177.04137520968716007347,274.85428969017730376047,82.16284816361172069708,32.670412826232356098329201965,10.866896934220505973002557165,2602.80165432584272351107,0.97812914480490143687,0.00000000000000000000,2993.07518310299839682220,26679.45055369849159206612,3361.82987069444623852219,0.00000000000000000000,71.40342757075780489151,684.69040136343100580900,7.82503315843921149496,278.76680626939690950795
4,India,2,Himachal Pradesh,2016,"Calendar Year (Jan - Dec), 2016",13386,101,58,28,19.5650217,8.6154091,236,116,2,3863,17249,1222,4,31,507,178,204
5,India,2,Himachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",13007,99,68,29,18.0202617,8.5105712,274,109,3,4789,17796,1246,4,56,574,196,184
6,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",14604,99,81,28,17.9433154,6.9744091,323,130,1,4990,19594,1633,8,69,600,270,232
7,India,3,Punjab,2016,"Calendar Year (Jan - Dec), 2016",40007,771,32,171,106.0124781,38.8291771,22661,132,2,17732,57739,5105,9,102,4271,4,117
8,India,3,Punjab,2017,"Calendar Year (Jan - Dec), 2017",39288,659,60,167,92.3338483,32.6889184,22420,118,0,31385,70673,4620,11,176,3788,35,215
9,India,3,Punjab,2018,"Calendar Year (Jan - Dec), 2018",41640,684,39,176,102.5439463,31.1491528,20967,168,0,28678,70318,5302,5,239,4835,35,236
10,India,4,Chandigarh,2016,"Calendar Year (Jan - Dec), 2016",2996,26,2,15,7.9927954,2.7808064,1424,1,0,1260,4256,414,4,26,210,3,96
11,India,4,Chandigarh,2017,"Calendar Year (Jan - Dec), 2017",3240,25,3,2,8.2050288,2.7264362,1444,1,0,2222,5462,453,1,32,123,4,159
12,India,4,Chandigarh,2018,"Calendar Year (Jan - Dec), 2018",3072,20,1,3,9.8999295,3.5143653,1124,1,0,2895,5967,442,2,30,205,0,137
13,India,5,Uttarakhand,2016,"Calendar Year (Jan - Dec), 2016",10867,194,4,28,13.26644,7.1634128,5142,65,3,5207,16074,1588,0,62,1289,49,124
14,India,5,Uttarakhand,2017,"Calendar Year (Jan - Dec), 2017",12889,181,7,13,15.5067807,8.1757666,5990,96,11,15972,28861,1944,5,124,1122,75,159
15,India,5,Uttarakhand,2018,"Calendar Year (Jan - Dec), 2018",14739,211,8,17,18.2205321,11.5187513,6225,58,7,19976,34715,2817,2,171,1528,194,179
16,India,6,Haryana,2016,"Calendar Year (Jan - Dec), 2016",88527,1057,1286,139,261.5362188,76.7635302,14686,639,0,54584,143111,9839,8,401,5123,44,1186
17,India,6,Haryana,2017,"Calendar Year (Jan - Dec), 2017",97924,1046,2576,82,213.4200002,64.0436556,15478,762,0,126892,224816,11370,10,504,5923,42,1030
18,India,6,Haryana,2018,"Calendar Year (Jan - Dec), 2018",108212,1104,418,107,230.0743929,65.8951568,14950,961,0,83017,191229,14326,8,418,5744,37,1178
19,India,7,Delhi,2016,"Calendar Year (Jan - Dec), 2016",209519,528,22,16,3278.814716,157.0157603,24293,54,2,7401,216920,15310,154,98,6427,18,2499
20,India,7,Delhi,2017,"Calendar Year (Jan - Dec), 2017",232066,487,11,9,752.6885573,77.5788825,24747,48,4,12648,244714,13076,169,162,5200,21,2965
21,India,7,Delhi,2018,"Calendar Year (Jan - Dec), 2018",249012,513,11,6,1017.663242,61.8092238,24432,36,0,13600,262612,13640,189,189,4918,17,2727
22,India,8,Rajasthan,2016,"Calendar Year (Jan - Dec), 2016",180398,1551,82,387,240.0563412,131.3581248,59721,5134,1195,70749,251147,27422,25,941,23589,1381,2273
23,India,8,Rajasthan,2017,"Calendar Year (Jan - Dec), 2017",169941,1473,74,404,237.4298518,125.1324264,73388,4238,984,75612,245553,25993,19,1304,21645,10122,2048
24,India,8,Rajasthan,2018,"Calendar Year (Jan - Dec), 2018",171889,1508,125,372,247.2385618,119.4587436,66487,4607,1095,78657,250546,27866,21,1104,21309,9784,2068
25,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",282171,4889,1414,30,630.0749726,167.7097782,124720,10426,4,211854,494025,49262,6,2639,15765,2130,1438
26,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",310084,4324,2055,58,293.3475292,100.126997,137693,11444,88,289998,600082,56011,39,4971,20717,1863,825
27,India,9,Uttar Pradesh,2018,"Calendar Year (Jan - Dec), 2018",342355,4018,2503,84,324.4339257,94.1189138,140386,11924,145,242802,585157,59445,62,6280,22822,1693,1048
28,India,10,Bihar,2016,"Calendar Year (Jan - Dec), 2016",164163,2581,207,164,100.2107867,19.8449101,43772,5701,25,25533,189696,13400,10,309,8628,41,2335
29,India,10,Bihar,2017,"Calendar Year (Jan - Dec), 2017",180573,2803,146,128,158.3614969,44.4156112,60056,6747,80,55482,236055,14711,9,433,8067,51,1142
30,India,10,Bihar,2018,"Calendar Year (Jan - Dec), 2018",196911,2934,62,69,119.2091809,22.219691,41400,7061,64,65904,262815,16920,0,374,9209,152,671
31,India,11,Sikkim,2016,"Calendar Year (Jan - Dec), 2016",809,17,0,14,1.90739,0.7655147,0,1,0,211,1020,153,0,1,61,0,27
32,India,11,Sikkim,2017,"Calendar Year (Jan - Dec), 2017",719,13,0,0,1.5410468,0.36564,0,5,6,260,979,163,0,1,61,0,24
33,India,11,Sikkim,2018,"Calendar Year (Jan - Dec), 2018",620,12,3,0,1.31837,0.29715,0,5,1,249,869,172,0,1,43,0,9
34,India,12,Arunachal Pradesh,2016,"Calendar Year (Jan - Dec), 2016",2534,46,10,14,12.9495,2.2214152,1,0,1,166,2700,367,0,4,167,1,57
35,India,12,Arunachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",2565,79,16,11,20.4031238,1.9912572,0,2,0,181,2746,337,0,1,115,2,48
36,India,12,Arunachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",2613,62,9,18,11.373719,2.2370184,0,0,0,204,2817,368,0,7,122,2,31
37,India,13,Nagaland,2016,"Calendar Year (Jan - Dec), 2016",1376,36,15,10,8.1380584,1.8858279,35,0,0,532,1908,105,0,2,140,3,18
38,India,13,Nagaland,2017,"Calendar Year (Jan - Dec), 2017",1068,36,14,12,4.9179199,1.2215873,87,0,0,485,1553,79,0,0,66,0,12
39,India,13,Nagaland,2018,"Calendar Year (Jan - Dec), 2018",1223,31,12,16,7.4321362,1.5900537,214,0,0,552,1775,75,0,2,103,0,10
40,India,14,Manipur,2016,"Calendar Year (Jan - Dec), 2016",3170,78,335,0,8.550415835,2.9929104,0,2,1,928,4098,253,0,11,137,2,10
41,India,14,Manipur,2017,"Calendar Year (Jan - Dec), 2017",3416,63,333,1,7.2095632,1.433081,0,0,1,834,4250,236,0,74,256,1,12
42,India,14,Manipur,2018,"Calendar Year (Jan - Dec), 2018",2869,52,307,4,11.9940741,1.090442,0,0,1,912,3781,271,0,29,144,1,10
43,India,15,Mizoram,2016,"Calendar Year (Jan - Dec), 2016",2425,29,0,5,8.9105931,3.4995726,0,0,0,375,2800,120,0,1,119,1,53
44,India,15,Mizoram,2017,"Calendar Year (Jan - Dec), 2017",2118,21,1,5,6.2012808,0.4521947,0,0,0,620,2738,301,1,10,91,1,21
45,India,15,Mizoram,2018,"Calendar Year (Jan - Dec), 2018",1774,27,0,7,3.5943446,1.8425381,0,0,0,577,2351,249,1,6,69,1,31
46,India,16,Tripura,2016,"Calendar Year (Jan - Dec), 2016",3933,145,7,2,2.4275433,0.722421,12,0,3,148,4081,1013,0,8,146,0,25
47,India,16,Tripura,2017,"Calendar Year (Jan - Dec), 2017",3918,124,16,1,4.3691751,1.1242132,51,1,1,320,4238,972,0,7,149,0,37
48,India,16,Tripura,2018,"Calendar Year (Jan - Dec), 2018",5325,137,17,6,5.4135877,0.9776255,83,1,0,753,6078,907,0,20,173,0,44
49,India,17,Meghalaya,2016,"Calendar Year (Jan - Dec), 2016",3366,108,51,0,14.97956752,1.7080632,0,0,0,216,3582,372,0,39,324,0,84
50,India,17,Meghalaya,2017,"Calendar Year (Jan - Dec), 2017",3521,87,38,1,8.8124516,1.2340167,0,0,0,431,3952,567,0,39,294,0,93
51,India,17,Meghalaya,2018,"Calendar Year (Jan - Dec), 2018",2921,95,22,1,12.3668622,1.3812276,0,0,0,561,3482,571,0,74,257,45,71
52,India,18,Assam,2016,"Calendar Year (Jan - Dec), 2016",102250,1149,343,23,94.1684732,19.5053646,6241,4,1,4764,107014,20869,0,696,6519,149,436
53,India,18,Assam,2017,"Calendar Year (Jan - Dec), 2017",104324,1144,323,27,108.3246274,14.8700988,6795,10,65,5628,109952,23082,2,1120,7363,105,192
54,India,18,Assam,2018,"Calendar Year (Jan - Dec), 2018",112232,1241,578,25,110.1841057,24.1374176,8698,8,6,8340,120572,27728,7,2022,8826,94,150
55,India,19,West Bengal,2016,"Calendar Year (Jan - Dec), 2016",176569,2044,102,16,158.4457479,24.6915306,56447,119,83,27831,204400,32513,2,478,9663,74,709
56,India,19,West Bengal,2017,"Calendar Year (Jan - Dec), 2017",163999,2001,167,15,100.6620262,29.766204,37612,138,122,31538,195537,30992,21,568,10052,88,577
57,India,19,West Bengal,2018,"Calendar Year (Jan - Dec), 2018",157610,1933,184,9,97.1373321,47.4827765,54107,119,101,30453,188063,30394,6,335,9682,64,503
58,India,20,Jharkhand,2016,"Calendar Year (Jan - Dec), 2016",40710,1514,106,119,27.9243861,5.9087803,18411,525,280,7107,47817,5453,2,259,3119,139,140
59,India,20,Jharkhand,2017,"Calendar Year (Jan - Dec), 2017",44595,1487,78,170,34.7385441,3.1909301,23157,541,237,8069,52664,5911,0,720,3510,158,75
60,India,20,Jharkhand,2018,"Calendar Year (Jan - Dec), 2018",45287,1712,191,90,36.9524726,3.3581224,25715,537,224,10377,55664,7083,0,930,4186,155,79
61,India,21,Odisha,2016,"Calendar Year (Jan - Dec), 2016",81460,1328,25,569,111.2783073,28.41489724,32473,1796,681,22105,103565,17837,1,317,3756,1,994
62,India,21,Odisha,2017,"Calendar Year (Jan - Dec), 2017",83583,1267,26,494,133.0793699,39.3702052,34621,1969,700,20283,103866,20098,0,824,3451,3,1111
63,India,21,Odisha,2018,"Calendar Year (Jan - Dec), 2018",83769,1378,15,494,119.3392197,34.3524747,41897,1778,557,23639,107408,20274,0,843,3226,8,1078
64,India,22,Chhattisgarh,2016,"Calendar Year (Jan - Dec), 2016",55029,957,9,61,43.0565367,14.495642,23576,243,402,29163,84192,5947,0,90,1282,15,1953
65,India,22,Chhattisgarh,2017,"Calendar Year (Jan - Dec), 2017",58481,919,14,27,50.2654788,15.3216177,22752,283,399,32035,90516,7996,1,171,1719,65,1952
66,India,22,Chhattisgarh,2018,"Calendar Year (Jan - Dec), 2018",60178,917,18,27,53.0315023,17.6909347,23987,264,388,38055,98233,8587,0,139,1871,54,1911
67,India,23,Madhya Pradesh,2016,"Calendar Year (Jan - Dec), 2016",264418,2004,21,402,236.7456807,72.5673815,98964,4922,1823,100736,365154,26604,2,258,2825,32,7369
68,India,23,Madhya Pradesh,2017,"Calendar Year (Jan - Dec), 2017",269512,1908,32,294,163.7512053,65.4511509,91906,5892,2289,110170,379682,29788,5,490,3218,46,6491
69,India,23,Madhya Pradesh,2018,"Calendar Year (Jan - Dec), 2018",248354,1879,223,256,171.5216465,63.2015371,89036,4753,1868,156775,405129,28942,6,740,2955,139,5232
70,India,24,Gujarat,2016,"Calendar Year (Jan - Dec), 2016",147122,1120,44,258,207.6014665,62.988387,77230,1322,281,288300,435422,8532,2,362,3463,16,1681
71,India,24,Gujarat,2017,"Calendar Year (Jan - Dec), 2017",128775,970,27,148,245.6410588,51.4941531,73690,1477,319,206024,334799,8133,4,458,3477,78,2013
72,India,24,Gujarat,2018,"Calendar Year (Jan - Dec), 2018",147574,1072,42,333,311.6975968,80.6461043,74214,1426,311,245620,393194,8329,3,702,4049,102,2040
73,India,27,Maharashtra,2016,"Calendar Year (Jan - Dec), 2016",261714,2299,178,1016,3371.276576,266.9169112,223360,1750,403,169152,430866,31388,38,2380,13008,170,6606
74,India,27,Maharashtra,2017,"Calendar Year (Jan - Dec), 2017",288879,2103,253,925,1521.331323,207.7489073,234826,1689,464,178874,467753,31979,61,3604,13941,439,6026
75,India,27,Maharashtra,2018,"Calendar Year (Jan - Dec), 2018",346291,2199,423,936,1403.388913,754.1719575,223289,1974,526,169383,515674,35497,63,3511,14854,1010,5880
76,India,28,Andhra Pradesh,2016,"Calendar Year (Jan - Dec), 2016",106774,1123,40,164,113.1794964,46.5213801,69689,2335,405,22615,129389,16362,5,616,5931,46,809
77,India,28,Andhra Pradesh,2017,"Calendar Year (Jan - Dec), 2017",132336,1054,150,199,127.0091477,56.262036,76356,1969,341,15666,148002,17909,3,931,6299,135,1122
78,India,28,Andhra Pradesh,2018,"Calendar Year (Jan - Dec), 2018",126635,935,173,151,112.3250786,49.8332477,74654,1836,330,18068,144703,16438,3,1207,6473,91,966
79,India,29,Karnataka,2016,"Calendar Year (Jan - Dec), 2016",148402,1573,148,25,276.5805465,105.3072547,37839,1869,374,31077,179479,14131,12,1101,7980,178,453
80,India,29,Karnataka,2017,"Calendar Year (Jan - Dec), 2017",146354,1384,111,289,295.2527802,125.3063094,37873,1878,401,37709,184063,14078,30,3174,7604,494,499
81,India,29,Karnataka,2018,"Calendar Year (Jan - Dec), 2018",126534,1334,112,378,244.7861671,97.2726557,34396,1325,322,36882,163416,13514,28,5839,7215,400,528
82,India,30,Goa,2016,"Calendar Year (Jan - Dec), 2016",2692,30,11,11,9.317018,2.113208,249,11,11,1014,3706,371,22,31,199,1,21
83,India,30,Goa,2017,"Calendar Year (Jan - Dec), 2017",2965,31,6,4,11.0178457,1.598277,383,10,2,978,3943,369,28,13,200,28,24
84,India,30,Goa,2018,"Calendar Year (Jan - Dec), 2018",2740,29,22,11,8.5523679,2.8907685,464,5,5,1144,3884,362,34,29,215,5,20
85,India,31,Lakshadweep,2016,"Calendar Year (Jan - Dec), 2016",36,0,0,0,0.026742,0,0,0,1,14,50,9,0,0,1,0,0
86,India,31,Lakshadweep,2017,"Calendar Year (Jan - Dec), 2017",78,0,2,0,0.0338,0.00085,0,0,0,36,114,6,0,0,0,0,0
87,India,31,Lakshadweep,2018,"Calendar Year (Jan - Dec), 2018",48,1,4,0,0.0047,0,0,0,0,29,77,11,0,4,0,1,0
88,India,32,Kerala,2016,"Calendar Year (Jan - Dec), 2016",260097,305,317,430,83.0546576,18.2417155,29195,810,182,447773,707870,10034,15,283,5217,28,628
89,India,32,Kerala,2017,"Calendar Year (Jan - Dec), 2017",235846,305,315,142,57.4834954,20.4184909,33109,916,144,417654,653500,11057,19,320,4678,6780,481
90,India,32,Kerala,2018,"Calendar Year (Jan - Dec), 2018",186958,292,341,142,66.5384875,23.4171778,28458,887,138,325209,512167,10461,10,340,5522,5750,475
91,India,33,Tamil Nadu,2016,"Calendar Year (Jan - Dec), 2016",179896,1603,1827,170,136.8868809,91.5349201,81639,1291,19,287473,467369,4463,24,144,3499,1,2217
92,India,33,Tamil Nadu,2017,"Calendar Year (Jan - Dec), 2017",178836,1560,1802,257,151.7078846,118.0015741,82221,1362,22,242040,420876,5397,43,228,3511,20914,2376
93,India,33,Tamil Nadu,2018,"Calendar Year (Jan - Dec), 2018",185912,1569,2241,264,144.1564249,96.5504381,79383,1413,15,313276,499188,5822,51,295,3865,14536,2304
94,India,34,Puducherry,2016,"Calendar Year (Jan - Dec), 2016",4086,33,8,5,3.6023037,1.4432814,304,3,1,799,4885,95,33,2,104,1,72
95,India,34,Puducherry,2017,"Calendar Year (Jan - Dec), 2017",3883,25,7,2,6.142435,2.1422269,236,32,0,916,4799,147,0,5,92,75,104
96,India,34,Puducherry,2018,"Calendar Year (Jan - Dec), 2018",3606,29,13,0,4.9098899,1.7406835,295,7,0,1068,4674,166,0,14,68,63,10
97,India,35,Andaman And Nicobar Islands,2016,"Calendar Year (Jan - Dec), 2016",802,14,7,3,0.7629905,0.2844064,0,0,6,1689,2491,108,0,3,82,0,12
98,India,35,Andaman And Nicobar Islands,2017,"Calendar Year (Jan - Dec), 2017",638,9,1,7,1.171352,0.5271764,0,0,2,2376,3014,132,0,3,40,2,16
99,India,35,Andaman And Nicobar Islands,2018,"Calendar Year (Jan - Dec), 2018",706,11,3,1,1.1096867,0.599067,0,0,1,2993,3699,147,3,7,37,0,25
100,India,36,Telangana,2016,"Calendar Year (Jan - Dec), 2016",108991,1046,90,89,113.5501512,60.9203499,15516,1529,375,11282,120273,15374,4,593,9286,22,998
101,India,36,Telangana,2017,"Calendar Year (Jan - Dec), 2017",119858,805,98,55,120.3862194,62.2505574,17541,1466,435,13339,133197,17521,7,1209,10840,307,1365
102,India,36,Telangana,2018,"Calendar Year (Jan - Dec), 2018",113951,786,53,139,160.570656,113.3627941,16839,1507,419,12907,126858,16027,5,1205,10390,483,1408
103,India,37,Ladakh,2016,"Calendar Year (Jan - Dec), 2016",535.85782313510989524813,3.10566143770399596446,4.04610821109323417905,1.20289703573042097215,0.5466415188315320051686024181,0.246335120740238932111508466,22.37388486458583008199,0.02187085519509856313,0.00000000000000000000,46.43182557919424952499,582.28964871430414477312,62.33193730603090492050,0.00000000000000000000,0.61238394546275976764,14.04108903525327752946,0.08748342078039425252,4.33042932862951549974
104,India,37,Ladakh,2017,"Calendar Year (Jan - Dec), 2017",495.74667470729913046771,3.32436998965498159576,3.98049564550793848966,1.83715183638827930292,0.647678591366486509884684689,0.226795215363038064132921293,24.77967893604667202629,0.00000000000000000000,0.00000000000000000000,64.32218512878487416533,560.06885983608400463304,68.43390590546340403377,0.00000000000000000000,1.37786387729120947719,15.11276093981310712283,0.28432111753628132069,4.08984992148343130531
105,India,37,Ladakh,2018,"Calendar Year (Jan - Dec), 2018",529.62462940450680475608,3.95862479031283992653,6.14571030982269623953,1.83715183638827930292,0.730506673767643901670798035,0.242982565779494026997442835,58.19834567415727648893,0.02187085519509856313,0.00000000000000000000,66.92481689700160317780,596.54944630150840793388,75.17012930555376147781,0.00000000000000000000,1.59657242924219510849,15.30959863656899419100,0.17496684156078850504,6.23319373060309049205
106,India,38,The Dadra And Nagar Haveli And Daman And Diu,2016,"Calendar Year (Jan - Dec), 2016",515.00000000000000000000,9.00000000000000000000,0.00000000000000000000,0.00000000000000000000,5.226944000000000000000000000,1.960314800000000000000000000,0.00000000000000000000,0.00000000000000000000,2.00000000000000000000,28.00000000000000000000,543.00000000000000000000,69.00000000000000000000,0.00000000000000000000,1.00000000000000000000,45.00000000000000000000,0.00000000000000000000,7.00000000000000000000
107,India,38,The Dadra And Nagar Haveli And Daman And Diu,2017,"Calendar Year (Jan - Dec), 2017",633.00000000000000000000,9.00000000000000000000,1.00000000000000000000,0.00000000000000000000,2.164596100000000000000000000,0.828931900000000000000000000,0.00000000000000000000,0.00000000000000000000,5.00000000000000000000,58.00000000000000000000,691.00000000000000000000,46.00000000000000000000,0.00000000000000000000,1.00000000000000000000,95.00000000000000000000,0.00000000000000000000,21.00000000000000000000
108,India,38,The Dadra And Nagar Haveli And Daman And Diu,2018,"Calendar Year (Jan - Dec), 2018",574.00000000000000000000,12.00000000000000000000,1.00000000000000000000,2.00000000000000000000,6.705733900000000000000000000,2.003774300000000000000000000,0.00000000000000000000,1.00000000000000000000,3.00000000000000000000,75.00000000000000000000,649.00000000000000000000,54.00000000000000000000,0.00000000000000000000,0.00000000000000000000,53.00000000000000000000,2.00000000000000000000,15.00000000000000000000
